User-id,Game-title,Genre,personal-rating
5250,Alien Swarm,Shooter,3
975449,Alien Swarm,Shooter,5
1950243,Alien Swarm,Shooter,3
2259650,Alien Swarm,Shooter,2
2753525,Alien Swarm,Shooter,2
4595423,Alien Swarm,Shooter,2
8585433,Alien Swarm,Shooter,3
10162301,Alien Swarm,Shooter,5
11373749,Alien Swarm,Shooter,2
11403772,Alien Swarm,Shooter,5
11731710,Alien Swarm,Shooter,5
11807754,Alien Swarm,Shooter,3
11952990,Alien Swarm,Shooter,5
12610800,Alien Swarm,Shooter,2
12985315,Alien Swarm,Shooter,2
13565651,Alien Swarm,Shooter,2
14465359,Alien Swarm,Shooter,5
15196746,Alien Swarm,Shooter,2
17497581,Alien Swarm,Shooter,2
17567828,Alien Swarm,Shooter,5
17995238,Alien Swarm,Shooter,5
19696244,Alien Swarm,Shooter,2
21061921,Alien Swarm,Shooter,2
21979395,Alien Swarm,Shooter,2
22301321,Alien Swarm,Shooter,2
23672423,Alien Swarm,Shooter,3
23883383,Alien Swarm,Shooter,2
24632218,Alien Swarm,Shooter,3
26729643,Alien Swarm,Shooter,5
27169419,Alien Swarm,Shooter,4
27545486,Alien Swarm,Shooter,3
27944300,Alien Swarm,Shooter,5
29239329,Alien Swarm,Shooter,5
29302014,Alien Swarm,Shooter,2
29983962,Alien Swarm,Shooter,2
30519870,Alien Swarm,Shooter,5
30913209,Alien Swarm,Shooter,5
31727716,Alien Swarm,Shooter,3
31733654,Alien Swarm,Shooter,4
33013552,Alien Swarm,Shooter,4
33214968,Alien Swarm,Shooter,5
33580866,Alien Swarm,Shooter,4
33622085,Alien Swarm,Shooter,5
34384042,Alien Swarm,Shooter,5
34919318,Alien Swarm,Shooter,5
36439985,Alien Swarm,Shooter,2
36557643,Alien Swarm,Shooter,2
37723786,Alien Swarm,Shooter,3
40212239,Alien Swarm,Shooter,3
41846650,Alien Swarm,Shooter,5
43160799,Alien Swarm,Shooter,3
43913966,Alien Swarm,Shooter,5
44472980,Alien Swarm,Shooter,5
46028967,Alien Swarm,Shooter,4
46301758,Alien Swarm,Shooter,2
47457723,Alien Swarm,Shooter,4
47887890,Alien Swarm,Shooter,2
48058475,Alien Swarm,Shooter,5
48525807,Alien Swarm,Shooter,5
48666962,Alien Swarm,Shooter,3
48798067,Alien Swarm,Shooter,5
49462664,Alien Swarm,Shooter,3
49893565,Alien Swarm,Shooter,4
50229934,Alien Swarm,Shooter,5
50818751,Alien Swarm,Shooter,5
51085779,Alien Swarm,Shooter,2
51822361,Alien Swarm,Shooter,2
53097340,Alien Swarm,Shooter,3
53784377,Alien Swarm,Shooter,2
54761333,Alien Swarm,Shooter,5
55426012,Alien Swarm,Shooter,2
55906572,Alien Swarm,Shooter,3
56789999,Alien Swarm,Shooter,2
57368001,Alien Swarm,Shooter,5
58905429,Alien Swarm,Shooter,4
59382844,Alien Swarm,Shooter,2
60608576,Alien Swarm,Shooter,4
60611062,Alien Swarm,Shooter,5
60859324,Alien Swarm,Shooter,2
61189155,Alien Swarm,Shooter,5
61676491,Alien Swarm,Shooter,5
62097332,Alien Swarm,Shooter,2
62990992,Alien Swarm,Shooter,5
63157803,Alien Swarm,Shooter,4
63454504,Alien Swarm,Shooter,2
64023574,Alien Swarm,Shooter,2
64079170,Alien Swarm,Shooter,5
64394438,Alien Swarm,Shooter,2
65342306,Alien Swarm,Shooter,5
65716118,Alien Swarm,Shooter,5
66592754,Alien Swarm,Shooter,5
66615366,Alien Swarm,Shooter,2
66650717,Alien Swarm,Shooter,5
66755246,Alien Swarm,Shooter,5
67492611,Alien Swarm,Shooter,5
67579257,Alien Swarm,Shooter,4
67694014,Alien Swarm,Shooter,2
67791342,Alien Swarm,Shooter,5
68025732,Alien Swarm,Shooter,2
68049243,Alien Swarm,Shooter,5
68719896,Alien Swarm,Shooter,5
68809194,Alien Swarm,Shooter,2
68828361,Alien Swarm,Shooter,2
69953893,Alien Swarm,Shooter,5
69954842,Alien Swarm,Shooter,5
72627862,Alien Swarm,Shooter,2
75767676,Alien Swarm,Shooter,4
75864605,Alien Swarm,Shooter,2
76881558,Alien Swarm,Shooter,2
77194086,Alien Swarm,Shooter,3
77903318,Alien Swarm,Shooter,5
78053539,Alien Swarm,Shooter,4
79411077,Alien Swarm,Shooter,5
80511960,Alien Swarm,Shooter,5
82020006,Alien Swarm,Shooter,2
82046939,Alien Swarm,Shooter,5
82212295,Alien Swarm,Shooter,5
82352462,Alien Swarm,Shooter,4
82695118,Alien Swarm,Shooter,5
83770731,Alien Swarm,Shooter,3
84585204,Alien Swarm,Shooter,5
86481908,Alien Swarm,Shooter,5
86733992,Alien Swarm,Shooter,5
87201181,Alien Swarm,Shooter,5
88344296,Alien Swarm,Shooter,2
93882483,Alien Swarm,Shooter,2
94698408,Alien Swarm,Shooter,2
101000574,Alien Swarm,Shooter,2
105024602,Alien Swarm,Shooter,2
106042595,Alien Swarm,Shooter,2
109669093,Alien Swarm,Shooter,3
114447625,Alien Swarm,Shooter,5
122956129,Alien Swarm,Shooter,2
127894126,Alien Swarm,Shooter,2
133268317,Alien Swarm,Shooter,3
133938767,Alien Swarm,Shooter,5
140825164,Alien Swarm,Shooter,4
141721383,Alien Swarm,Shooter,5
142799594,Alien Swarm,Shooter,5
144412676,Alien Swarm,Shooter,2
150751526,Alien Swarm,Shooter,3
154230723,Alien Swarm,Shooter,5
155036762,Alien Swarm,Shooter,2
166858869,Alien Swarm,Shooter,2
172381385,Alien Swarm,Shooter,4
174226719,Alien Swarm,Shooter,5
175001491,Alien Swarm,Shooter,5
181002117,Alien Swarm,Shooter,4
208467850,Alien Swarm,Shooter,5
210109243,Alien Swarm,Shooter,3
239661767,Alien Swarm,Shooter,4
5250,Cities Skylines,Simulator,5
298950,Cities Skylines,Simulator,1
3449240,Cities Skylines,Simulator,2
7431946,Cities Skylines,Simulator,2
7907686,Cities Skylines,Simulator,3
8259307,Cities Skylines,Simulator,1
8585433,Cities Skylines,Simulator,2
9128105,Cities Skylines,Simulator,4
10253354,Cities Skylines,Simulator,3
11373749,Cities Skylines,Simulator,1
14465359,Cities Skylines,Simulator,4
20704366,Cities Skylines,Simulator,5
23672423,Cities Skylines,Simulator,4
24366790,Cities Skylines,Simulator,5
27262175,Cities Skylines,Simulator,2
27403206,Cities Skylines,Simulator,4
31187179,Cities Skylines,Simulator,1
31669242,Cities Skylines,Simulator,4
33622085,Cities Skylines,Simulator,3
34901647,Cities Skylines,Simulator,3
34919318,Cities Skylines,Simulator,3
39622853,Cities Skylines,Simulator,2
42005897,Cities Skylines,Simulator,5
45974860,Cities Skylines,Simulator,5
46028967,Cities Skylines,Simulator,3
46301758,Cities Skylines,Simulator,5
47457723,Cities Skylines,Simulator,5
48386574,Cities Skylines,Simulator,4
50744279,Cities Skylines,Simulator,3
50769696,Cities Skylines,Simulator,2
51557405,Cities Skylines,Simulator,5
54826284,Cities Skylines,Simulator,2
62705916,Cities Skylines,Simulator,5
63276972,Cities Skylines,Simulator,5
64514291,Cities Skylines,Simulator,5
64754418,Cities Skylines,Simulator,5
65315657,Cities Skylines,Simulator,5
67694595,Cities Skylines,Simulator,3
68719896,Cities Skylines,Simulator,1
69009454,Cities Skylines,Simulator,5
71510748,Cities Skylines,Simulator,2
73495968,Cities Skylines,Simulator,2
74855005,Cities Skylines,Simulator,5
75463760,Cities Skylines,Simulator,5
76296787,Cities Skylines,Simulator,4
77830706,Cities Skylines,Simulator,4
77980915,Cities Skylines,Simulator,5
80154824,Cities Skylines,Simulator,1
82046939,Cities Skylines,Simulator,3
83671083,Cities Skylines,Simulator,1
83975567,Cities Skylines,Simulator,5
86055705,Cities Skylines,Simulator,2
86469479,Cities Skylines,Simulator,4
88035166,Cities Skylines,Simulator,2
91729217,Cities Skylines,Simulator,2
92393218,Cities Skylines,Simulator,5
99096740,Cities Skylines,Simulator,5
100070732,Cities Skylines,Simulator,5
100351493,Cities Skylines,Simulator,2
100431715,Cities Skylines,Simulator,2
105503045,Cities Skylines,Simulator,1
106980036,Cities Skylines,Simulator,4
112986636,Cities Skylines,Simulator,5
113196318,Cities Skylines,Simulator,5
115396529,Cities Skylines,Simulator,2
117370965,Cities Skylines,Simulator,5
120237789,Cities Skylines,Simulator,3
122551425,Cities Skylines,Simulator,2
