,Game-title,Genre
1464,Cinders,Adventure
1465,Fist of Jesus,Fighting
1466,FortressCraft Evolved Multiplayer,Genre not found
1467,Guacamelee! Super Turbo Championship Edition,Fighting
1468,Guardians of Graxia,Strategy
1469,Iron Fisticle,Shooter
1470,Lone Survivor The Director's Cut,Role-playing (RPG)
1471,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,Fighting
1472,Reaper - Tale of a Pale Swordsman,Fighting
1473,Secrets of Rtikon,Genre not found
1474,Shad'O,Strategy
1475,Skyward Collapse,Simulator
1476,Small World 2,Turn-based strategy (TBS)
1477,Sol Survivor,Strategy
1478,The Blackwell Legacy,Point-and-click
1479,The Fall,Genre not found
1480,iBomber Defense,Real Time Strategy (RTS)
1481,Arma 2 Free,Shooter
1482,Happy Wars,Role-playing (RPG)
1483,Jagged Alliance Online - Steam Edition,Genre not found
1484,A Druid's Duel,Strategy
1485,Alpha Prime,Shooter
1486,Big Brain Wolf,Point-and-click
1487,Bloons TD5,Simulator
1488,Bridge Project,Simulator
1489,Cities in Motion,Simulator
1490,Damnation,Shooter
1491,Diamond Dan,Platform
1492,Dragon's Lair,Platform
1493,Element4l,Platform
1494,Gods Will Be Watching,Point-and-click
1495,Gumboy Crazy Adventures,Puzzle
1496,Gumboy Crazy Features,Genre not found
1497,Harvest Massive Encounter,Real Time Strategy (RTS)
1498,Homebrew - Vehicle Sandbox,Racing
1499,Interstellar Marines,Shooter
1500,Jagged Alliance - Back in Action,Role-playing (RPG)
1501,Knock-knock,Platform
1502,LEGO Batman 3 Beyond Gotham,Platform
1503,LEGO Batman The Videogame,Platform
1504,LEGO Harry Potter Years 5-7,Platform
1505,LEGO Indiana Jones The Original Adventures,Platform
1506,LEGO Pirates of the Caribbean The Video Game,Platform
1507,LEGO The Hobbit,Puzzle
1508,Larva Mortus,Adventure
1509,Lego Harry Potter,Adventure
1510,Lego Indiana Jones 2,Platform
1511,Mensa Academy,Puzzle
1512,Metrocide,Shooter
1513,Mutant Mudds Deluxe,Platform
1514,OTTTD,Real Time Strategy (RTS)
1515,Omerta - City of Gangsters,Role-playing (RPG)
1516,Oscura Lost Light,Platform
1517,Pacific Storm Allies,Simulator
1518,Particulars,Puzzle
1519,Penguins Arena Sedna's World,Shooter
1520,PixelJunk Eden,Platform
1521,Primal Carnage,Shooter
1522,RIP,Visual Novel
1523,RIP 2 Strike Back,Indie
1524,RIP 3 The Last Hero,Shooter
1525,Resident Evil 6 Mercenaries No Mercy,Genre not found
1526,Shoot Many Robots,Shooter
1527,ShootMania Storm,Shooter
1528,Solar 2,Simulator
1529,Space Trader Merchant Marine,Simulator
1530,State of Decay Year-One,Shooter
1531,Stormrise,Real Time Strategy (RTS)
1532,Syberia 2,Point-and-click
1533,System Protocol One,Strategy
1534,Tank Universal,Indie
1535,Teslagrad,Platform
1536,Tex Murphy Martian Memorandum,Point-and-click
1537,Tex Murphy Mean Streets,Point-and-click
1538,Tex Murphy Overseer,Adventure
1539,Tex Murphy The Pandora Directive,Adventure
1540,Tex Murphy Under a Killing Moon,Point-and-click
1541,The 11th Hour,Point-and-click
1542,The 7th Guest,Point-and-click
1543,The Settlers 7 Paths to a Kingdom The Two Kings DLC #4,Genre not found
1544,Turbo Dismount,Simulator
1545,Twin Sector,Shooter
1546,Vigil Blood Bitterness,Role-playing (RPG)
1547,Dark Fall Lost Souls,Point-and-click
1548,FINAL FANTASY XI,Role-playing (RPG)
1549,FINAL FANTASY XI Ultimate Collection - Abyssea Edition,Genre not found
1550,Gyromancer,Puzzle
1551,James Bond Blood Stone,Shooter
1552,Season of Mystery  The Cherry Blossom Murders,Point-and-click
1553,Space Quest Collection,Point-and-click
1554,Yosumin!,Platform
1555,Cossacks Back to War,Real Time Strategy (RTS)
1556,Prison Tycoon 3 Lockdown,Simulator
1557,Take Command Second Manassas,Genre not found
1558,Dungeons 2,Role-playing (RPG)
1559,FaceRig,Simulator
1560,Mortal Kombat Legacy - Ep. 3 Johnny Cage,Genre not found
1561,Mortal Kombat Legacy - Ep. 4 Kitana & Mileena (Part 1),Genre not found
1562,Mortal Kombat Legacy - Ep. 5 Kitana & Mileena (Part 2),Genre not found
1563,Mortal Kombat Legacy - Ep. 6 Raiden,Genre not found
1564,Mortal Kombat Legacy - Ep. 7 Scorpion and Sub-Zero (Part 1),Genre not found
1565,Mortal Kombat Legacy - Ep. 8 Scorpion and Sub-Zero (Part 2),Genre not found
1566,Mortal Kombat Legacy - Ep. 9 Cyrax & Sektor,Genre not found
1567,The Book of Unwritten Tales 2,Point-and-click
1568,Fallout 3 - Mothership Zeta,Shooter
1569,Arctic Combat,Shooter
1570,DiggerOnline,Genre not found
1571,LYNE,Music
1572,Metro Conflict,Shooter
1573,Sakura Clicker,Strategy
1574,Democracy 3 Clones and Drones,Simulator
1575,From The Depths,Genre not found
1576,Shattered Horizon Arconauts,Genre not found
1577,TIS-100,Puzzle
1578,Call of Duty Black Ops III,Shooter
1579,City of Heroes,Sport
1580,Rift Ascended Edition,Genre not found
1581,Cannon Brawl,Real Time Strategy (RTS)
1582,Castlevania Lords of Shadow 2 - Revelations DLC,Genre not found
1583,Cradle,Genre not found
1584,Dead Rising 2 Off the Record,Hack and slash/Beat 'em up
1585,Edge of Space,Role-playing (RPG)
1586,Evoland,Role-playing (RPG)
1587,Fallen Enchantress Legendary Heroes - The Dead World,Strategy
1588,Fallen Enchantress Legendary Heroes Leader Pack,Strategy
1589,Fallen Enchantress Legendary Heroes Loot Pack,Genre not found
1590,Fallen Enchantress Legendary Heroes Map Pack,Role-playing (RPG)
1591,Fallen Enchantress Legendary Heroes Quest Pack,Strategy
1592,Finn and Jake's Epic Quest,Adventure
1593,Gateways,Adventure
1594,Halfway,Role-playing (RPG)
1595,Her Story,Indie
1596,Holy Potatoes! A Weapon Shop?!,Role-playing (RPG)
1597,Interplanetary,Strategy
1598,LIGHTNING RETURNS FINAL FANTASY XIII,Role-playing (RPG)
1599,La-Mulana,Genre not found
1600,Mountain,Genre not found
1601,Mushroom 11,Platform
1602,Need for Speed SHIFT,Racing
1603,Nihilumbra,Platform
1604,Nom Nom Galaxy,Platform
1605,Omerta - City of Gangsters The Bulgarian Colossus,Simulator
1606,Omerta - Damsel in Distress,Genre not found
1607,Omerta - The Con Artist,Simulator
1608,PixelJunk Shooter,Shooter
1609,ROCKETSROCKETSROCKETS,Shooter
1610,RONIN,Puzzle
1611,Reprisal Universe,Strategy
1612,STARWHAL,Fighting
1613,Salvation Prophecy,Shooter
1614,Sentris,Music
1615,Sorcerer King,Role-playing (RPG)
1616,StarMade,Shooter
1617,Starpoint Gemini,Role-playing (RPG)
1618,Super Time Force Ultra,Shooter
1619,The Magic Circle,Simulator
1620,The Pilgrim DLC,Genre not found
1621,The Universim,Simulator
1622,Toy Soldiers War Chest,Shooter
1623,Unstoppable Gorg,Strategy
1624,VoidExpanse,Role-playing (RPG)
1625,Ys The Oath in Felghana,Role-playing (RPG)
1626,Chroma Squad,Role-playing (RPG)
1627,Ghost in the Shell Stand Alone Complex First Assault Online,Shooter
1628,Hylics,Role-playing (RPG)
1629,LISA,Role-playing (RPG)
1630,LISA Soundtrack + Art Collection,Genre not found
1631,METAL SLUG X,Shooter
1632,Mighty Gunvolt,Shooter
1633,Portal 2 - The Final Hours,Genre not found
1634,Sonic CD,Platform
1635,Transistor Soundtrack,Genre not found
1636,Year Walk,Adventure
1637,A Bird Story,Adventure
1638,AVSEQ,Music
1639,Astebreed,Shooter
1640,Contraption Maker,Platform
1641,Draw a Stickman EPIC,Puzzle
1642,Dungeon Hearts,Puzzle
1643,Fairy Bloom Freesia,Platform
1644,Fortix,Shooter
1645,Galactic Arms Race,Shooter
1646,Galcon Legends,Real Time Strategy (RTS)
1647,Karateka ,Fighting
1648,MirrorMoon EP,Puzzle
1649,Mitsurugi Kamui Hikae,Fighting
1650,REVOLVER360 REACTOR,Shooter
1651,Runespell Overture,Puzzle
1652,Sonic Adventure 2 ,Platform
1653,Sonic Adventure 2 Battle Mode DLC,Platform
1654,Symphony,Music
1655,The Legend of Korra,Fighting
1656,Unholy Heights,Puzzle
1657,Vanguard Princess Kurumi,Indie
1658,C9,Role-playing (RPG)
1659,EasyAntiCheat eSports,Genre not found
1660,"I, Zombie",Puzzle
1661,Infestation Survivor Stories,Shooter
1662,The Slaughtering Grounds,Shooter
1663,Trine 3 The Artifacts of Power,Platform
1664,Death Skid Marks,Racing
1665,FreeStyle2 Street Basketball,Sport
1666,Oceanhorn Monster of Uncharted Seas,Role-playing (RPG)
1667,Aura Kingdom,Role-playing (RPG)
1668,Call of Duty,Shooter
1669,B.U.T.T.O.N.,Platform
1670,Thirty Flights of Loving,Puzzle
1671,Close Your Eyes,Puzzle
1672,Darkstone,Role-playing (RPG)
1673,Dungeon Party,Genre not found
1674,Echoes+,Puzzle
1675,Passing Pineview Forest,Adventure
1676,Penumbra Necrologue,Puzzle
1677,The Forgotten Ones,Adventure
1678,Velvet Sundown,Role-playing (RPG)
1679,Cubic Castles,Adventure
1680,Red Crucible Firestorm,Genre not found
1681,Run and Fire,Adventure
1682,UberStrike,Shooter
1683,Xam,Genre not found
1684,Distant Worlds Universe,Real Time Strategy (RTS)
1685,Rigonauts,Simulator
1686,Silverfall,Role-playing (RPG)
1687,Bionic Commando,Platform
1688,Flotilla,Strategy
1689,GridRunner Revolution,Indie
1690,King Arthur The Druids,Role-playing (RPG)
1691,King Arthur The Saxons,Real Time Strategy (RTS)
1692,Leviathan Warships Commonwealth Unit Pack,Genre not found
1693,ProtoGalaxy,Shooter
1694,Morphopolis,Point-and-click
1695,Survival Postapocalypse Now,Simulator
1696,Biology Battle,Strategy
1697,Crystals of Time,Point-and-click
1698,DarkBase 01,Genre not found
1699,Fine Sweeper,Puzzle
1700,Fort Defense,Genre not found
1701,Lilly and Sasha Nexus of Souls,Role-playing (RPG)
1702,Tiamat X,Indie
1703,Hearts of Iron II Complete,Strategy
1704,Among Ripples,Simulator
1705,Kill The Bad Guy,Fighting
1706,SanctuaryRPG Black Edition,Role-playing (RPG)
1707,Dead Horde,Shooter
1708,Flatout 3,Racing
1709,iBomber Defense Pacific,Real Time Strategy (RTS)
1710,Crazy Machines,Puzzle
1711,Crazy Machines 1.5 Inventors Training Camp,Strategy
1712,Crazy Machines 1.5 New from the Lab,Strategy
1713,Crazy Machines 2 - Jewel Digger DLC,Genre not found
1714,Crazy Machines 2 Fluid Add-On,Genre not found
1715,Crazy Machines Golden Gears,Puzzle
1716,Guild Wars Game of the Year,Role-playing (RPG)
1717,GundeadliGne,Shooter
1718,Gundemonium Recollection,Shooter
1719,Hitogata Happa,Shooter
1720,Majesty 2 Collection,Simulator
1721,S.K.I.L.L. - Special Force 2,Shooter
1722,SNOW,Visual Novel
1723,Hate Plus,Adventure
1724,Reveal The Deep,Platform
1725,Depth,Genre not found
1726,La Tale,Role-playing (RPG)
1727,Ascend Hand of Kul,Role-playing (RPG)
1728,Atlantica Online,Role-playing (RPG)
1729,Dragon Age Origins - Awakening,Role-playing (RPG)
1730,The Club,Adventure
1731,Pox Nora,Role-playing (RPG)
1732,Serious Sam HD The Second Encounter Player Models,Genre not found
1733,Puzzle Kingdoms,Genre not found
1734,Sparkle 2 Evo,Simulator
1735,8-Bit Adventures The Forgotten Journey Remastered Edition,Role-playing (RPG)
1736,A City Sleeps,Indie
1737,A Golden Wake,Point-and-click
1738,AGFPRO Fantasy Side-Scroller Player,Genre not found
1739,"About Love, Hate and the other ones",Puzzle
1740,Adventure Park,Simulator
1741,Agricultural Simulator 2011 Extended Edition,Simulator
1742,Agricultural Simulator Historical Farming,Simulator
1743,Airline Tycoon 2,Simulator
1744,Airport Simulator 2014,Simulator
1745,Akane the Kunoichi,Platform
1746,Alien Rage - Unlimited,Shooter
1747,American Conquest,Real Time Strategy (RTS)
1748,Amygdala,Adventure
1749,An Assassin in Orlandes,Role-playing (RPG)
1750,Arcane Worlds,Shooter
1751,Arma Tactics,Simulator
1752,Bardbarian,Role-playing (RPG)
1753,Bermuda,Adventure
1754,Black Viper Sophia's Fate,Point-and-click
1755,Blade Kitten,Platform
1756,BlazeRush,Racing
1757,Blockland,Shooter
1758,Bridge It (plus),Genre not found
1759,C-RUSH,Shooter
1760,Call of Juarez,Shooter
1761,Castle of Illusion,Platform
1762,Cognition - Original Soundtrack Vol 1,Genre not found
1763,Cognition An Erica Reed Thriller,Point-and-click
1764,Coldfire Keep,Role-playing (RPG)
1765,Combat Wings Battle of Britain,Simulator
1766,Company of Heroes 2 - The British Forces,Real Time Strategy (RTS)
1767,Conquest of Champions,Fighting
1768,Construct 2 Free,Genre not found
1769,Cossacks European Wars,Real Time Strategy (RTS)
1770,Crazy Plant Shop,Strategy
1771,Crouching Pony Hidden Dragon,Role-playing (RPG)
1772,Cubetractor,Puzzle
1773,Curse of the Assassin,Role-playing (RPG)
1774,DARK,Simulator
1775,Dark Fall 1 The Journal,Genre not found
1776,Dark Fall 2 Lights Out,Point-and-click
1777,Darkest Hour A Hearts of Iron Game,Real Time Strategy (RTS)
1778,Data Jammers FastForward,Indie
1779,Deadbreed,Real Time Strategy (RTS)
1780,Deadly 30,Shooter
1781,Deadnaut,Real Time Strategy (RTS)
1782,Detective Grimoire,Adventure
1783,Disciples III Reincarnation,Role-playing (RPG)
1784,Dracula 4 and  5 - Special Steam Edition,Adventure
1785,Drakensang,Role-playing (RPG)
1786,Dreaming Sarah,Platform
1787,Dreaming Sarah OST,Genre not found
1788,Edna & Harvey The Breakout,Point-and-click
1789,Enigmatis 2 The Mists of Ravenwood,Point-and-click
1790,Eryi's Action,Platform
1791,Ethan Meteor Hunter,Platform
1792,Fabula Mortis,Shooter
1793,Face Noir,Point-and-click
1794,Fat Chicken,Real Time Strategy (RTS)
1795,Fortix 2,Puzzle
1796,Freaking Meatbags,Shooter
1797,Freedom Fall,Platform
1798,GAUGE,Indie
1799,GT Legends,Racing
1800,Game Tycoon 1.5,Simulator
1801,Glowfish,Puzzle
1802,Gomo,Point-and-click
1803,Gray Matter,Genre not found
1804,Grimind,Platform
1805,Hack 'n' Slash,Puzzle
1806,HassleHeart,Indie
1807,Hero of Many,Puzzle
1808,Hero of the Kingdom,Point-and-click
1809,Hotel Collectors Edition,Adventure
1810,How To Survive Third Person,Role-playing (RPG)
1811,I Am Vegend,Arcade
1812,Ihf Handball Challenge 12,Sport
1813,Imperial Glory,Real Time Strategy (RTS)
1814,Imperium Romanum Gold Edition,Real Time Strategy (RTS)
1815,InMind VR,Indie
1816,Incoming Forces,Shooter
1817,Infinite Space III Sea of Stars,Simulator
1818,Inquisitor,Adventure
1819,Into the Dark,Simulator
1820,Jack Keane 2 - The Fire Within,Adventure
1821,Journey of a Roach,Puzzle
1822,Kingdom Elemental,Turn-based strategy (TBS)
1823,LUDWIG,Puzzle
1824,Legends of Persia,Role-playing (RPG)
1825,Leviathan The Last Day of the Decade,Puzzle
1826,Lightfish,Puzzle
1827,Lumino City,Point-and-click
1828,Luxor Evolved,Point-and-click
1829,Magnetic By Nature,Platform
1830,Major Mayhem,Shooter
1831,Medieval Engineers,Simulator
1832,Melissa K. and the Heart of Gold Collector's Edition,Adventure
1833,Metal Planet,Shooter
1834,Mini Motor Racing EVO,Racing
1835,Muffin Knight,Platform
1836,Mushroom Men Truffle Trouble ,Platform
1837,NEON STRUCT,Indie
1838,NEON STRUCT Soundtrack & Artbook,Genre not found
1839,"Once Bitten, Twice Dead",Shooter
1840,Onikira Demon Killer,Platform
1841,Paranormal State Poison Spring Collector's Edition,Adventure
1842,Patrician III,Real Time Strategy (RTS)
1843,Power-Up,Shooter
1844,Praetorians,Real Time Strategy (RTS)
1845,Pressured,Puzzle
1846,Primal Fears,Shooter
1847,Project Temporality,Platform
1848,Puddle,Platform
1849,RWRZ,Genre not found
1850,Real World Racing,Racing
1851,Real World Racing Amsterdam & Oakland,Genre not found
1852,Rescue Everyday Heroes,Real Time Strategy (RTS)
1853,Rhythm Destruction,Shooter
1854,Ride 'em Low,Racing
1855,Ridge Racer Unbounded,Racing
1856,Rune Classic,Hack and slash/Beat 'em up
1857,SATAZIUS,Shooter
1858,Sacraboar,Real Time Strategy (RTS)
1859,Safecracker The Ultimate Puzzle Adventure,Point-and-click
1860,Saturday Morning RPG,Role-playing (RPG)
1861,Selknam Defense,Real Time Strategy (RTS)
1862,Shadows of War,Fighting
1863,Silence of the Sleep,Puzzle
1864,Skyscraper Simulator,Simulator
1865,Sniper Ghost Warrior 2,Shooter
1866,Sniper Ghost Warrior 2 Multiplayer Expansion Pack,Genre not found
1867,Star Trek,Strategy
1868,Stargazer,Role-playing (RPG)
1869,Streets of Chaos,Genre not found
1870,Super Sanctum TD,Real Time Strategy (RTS)
1871,Super Toy Cars,Racing
1872,Test Drive Ferrari Racing Legends,Racing
1873,The Battle of Sol,Simulator
1874,The Detail,Adventure
1875,The Great Art Race,Simulator
1876,The Journey Down Chapter One,Point-and-click
1877,The Journey Down Chapter Two,Point-and-click
1878,The Joylancer Legendary Motor Knight,Platform
1879,The Last Tinker City of Colors,Platform
1880,The Marvellous Miss Take,Adventure
1881,The Mysterious Cities of Gold - Secret Paths,Fighting
1882,The Samaritan Paradox,Point-and-click
1883,The Secret Of Hildegards,Adventure
1884,The Sun at Night,Platform
1885,Time Mysteries 2 The Ancient Spectres,Puzzle
1886,Tom Clancy's H.A.W.X. 2,Simulator
1887,TrackMania Valley,Racing
1888,Tropico,Simulator
1889,Tropico 2 Pirate Cove,Simulator
1890,Two Worlds II Castle Defense,Strategy
1891,TypeRider,Genre not found
1892,Unhack,Puzzle
1893,Urban Trial Freestyle,Platform
1894,Venetica,Role-playing (RPG)
1895,Victory The Age of Racing,Racing
1896,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,Racing
1897,WRC Powerslide,Racing
1898,"War, the Game",Strategy
1899,Woodcutter Simulator 2013,Simulator
1900,Wrack,Shooter
1901,Xpand Rally Xtreme,Racing
1902,Yury,Platform
1903,Z,Fighting
1904,Zafehouse Diaries,Role-playing (RPG)
1905,Zooloretto,Quiz/Trivia
1906,eXceed - Gun Bullet Children,Shooter
1907,eXceed 2nd - Vampire REX,Shooter
1908,eXceed 3rd - Jade Penetrate Black Package,Shooter
1909,Castle Crashers - Pink Knight Pack,Adventure
1910,Cherry Tree High Comedy Club,Role-playing (RPG)
1911,Project Aftermath,Real Time Strategy (RTS)
1912,Retrovirus,Shooter
1913,Rising Angels Reborn,Simulator
1914,Brick-Force,Genre not found
1915,Chaos Heroes Online,Strategy
1916,Fork Parker's Holiday Profit Hike,Platform
1917,Karos,Role-playing (RPG)
1918,Magic Barrage - Bitferno,Genre not found
1919,Space Farmers,Shooter
1920,Spartans Vs Zombies Defense,Strategy
1921,Fieldrunners 2,Strategy
1922,Post Mortem,Point-and-click
1923,Scratches Director's Cut,Point-and-click
1924,Still Life 2,Point-and-click
1925,Black Ink,Adventure
1926,Shallow Space,Role-playing (RPG)
1927,Void Destroyer,Real Time Strategy (RTS)
1928,Volume,Genre not found
1929,Age of Wushu,Fighting
1930,Beasts of Prey,Adventure
1931,School of Dragons How to Train Your Dragon,Role-playing (RPG)
1932,Super Crate Box,Shooter
1933,Victoria II,Real Time Strategy (RTS)
1934,Always Sometimes Monsters - Soundtrack,Genre not found
1935,Beast Boxing Turbo,Sport
1936,Escape Goat 2,Platform
1937,Kingdom,Role-playing (RPG)
1938,Make it indie!,Simulator
1939,SC2VN - The eSports Visual Novel,Role-playing (RPG)
1940,STAR WARS TIE Fighter Special Edition,Shooter
1941,STAR WARS X-Wing Alliance,Shooter
1942,STAR WARS X-Wing Special Edition,Simulator
1943,STAR WARS X-Wing vs. TIE Fighter,Simulator
1944,eden*,Platform
1945,rFactor,Racing
1946,Euro Fishing,Simulator
1947,Else Heart.Break(),Point-and-click
1948,Real Warfare,Real Time Strategy (RTS)
1949,Real Warfare 2 Northern Crusades,Real Time Strategy (RTS)
1950,Theatre of War,Role-playing (RPG)
1951,Theatre of War 2 Africa 1943,Real Time Strategy (RTS)
1952,Theatre of War 3 Korea,Real Time Strategy (RTS)
1953,XIII Century,Real Time Strategy (RTS)
1954,Bridge Constructor Medieval,Puzzle
1955,Crusader Kings II Military Orders Unit Pack,Genre not found
1956,Crusader Kings II Warriors of Faith Unit Pack,Genre not found
1957,March of the Eagles,Real Time Strategy (RTS)
1958,Blackguards Untold Legends,Role-playing (RPG)
1959,Elsword,Role-playing (RPG)
1960,Grotesque Tactics 2 - Dungeons and Donuts,Role-playing (RPG)
1961,Grotesque Tactics Evil Heroes,Role-playing (RPG)
1962,King's Bounty Dark Side,Role-playing (RPG)
1963,King's Bounty Warriors of the North,Role-playing (RPG)
1964,Kings Bounty Legions,Role-playing (RPG)
1965,Might & Magic Heroes VII ,Role-playing (RPG)
1966,Pinball FX2 - Captain America Table,Genre not found
1967,Pinball FX2 - Marvel's Ant-Man,Genre not found
1968,Pinball FX2 - Star Wars Pack,Genre not found
1969,Reversion - The Escape,Point-and-click
1970,Space Rangers HD A War Apart,Role-playing (RPG)
1971,District 187,Role-playing (RPG)
1972,Hunting Unlimited 2010,Simulator
1973,Lilly and Sasha Guardian Angels,Role-playing (RPG)
1974,Speed Kills,Racing
1975,Stranded In Time,Adventure
1976,War in a Box Paper Tanks,Strategy
1977,Wooden Floor,Adventure
1978,World War II Panzer Claws,Genre not found
1979,Folk Tale,Role-playing (RPG)
1980,Bleed,Shooter
1981,Breach & Clear,Role-playing (RPG)
1982,Castlevania Lords of Shadow  Mirror of Fate HD,Platform
1983,Critical Mass,Shooter
1984,Dead Pixels,Shooter
1985,Dynamite Jack,Puzzle
1986,Electronic Super Joy Bonus Content,Indie
1987,Fieldrunners,Strategy
1988,GameMaker Studio Android,Genre not found
1989,GameMaker Studio HTML5,Genre not found
1990,GameMaker Studio Professional,Genre not found
1991,GameMaker Studio Ubuntu Export,Genre not found
1992,Greed Black Border,Role-playing (RPG)
1993,Hamilton's Great Adventure,Platform
1994,Ittle Dew,Puzzle
1995,Ninja Reflex Steamworks Edition,Indie
1996,Pinball FX2 - Civil War Table,Genre not found
1997,Pinball FX2 - Doctor Strange Table,Genre not found
1998,Pinball FX2 - Excalibur Table,Genre not found
1999,Pinball FX2 - Mars Table,Genre not found
2000,Alien Swarm,Shooter
2001,Cities Skylines,Simulator
2002,Counter-Strike,Shooter
2003,Counter-Strike Source,Shooter
2004,Day of Defeat,Shooter
2005,Deathmatch Classic,Shooter
2006,Deus Ex Human Revolution,Shooter
2007,Dota 2,Strategy
2008,Half-Life,Shooter
2009,Half-Life 2,Shooter
2010,Half-Life 2 Deathmatch,Shooter
2011,Half-Life 2 Episode One,Shooter
2012,Half-Life 2 Episode Two,Shooter
2013,Half-Life 2 Lost Coast,Shooter
2014,Half-Life Blue Shift,Shooter
2015,Half-Life Opposing Force,Shooter
2016,Portal,Real Time Strategy (RTS)
2017,Portal 2,Shooter
2018,Ricochet,Genre not found
2019,Team Fortress 2,Shooter
2020,Team Fortress Classic,Shooter
2021,Age of Empires II HD Edition,Real Time Strategy (RTS)
2022,Arma 2,Shooter
2023,Arma 2 Operation Arrowhead,Shooter
2024,Arma 2 Operation Arrowhead Beta (Obsolete),Genre not found
2025,Banished,Genre not found
2026,Call of Duty Black Ops,Shooter
2027,Call of Duty Black Ops - Multiplayer,Genre not found
2028,Call of Duty Modern Warfare 2,Shooter
2029,Call of Duty Modern Warfare 2 - Multiplayer,Genre not found
2030,Call of Duty Modern Warfare 3,Shooter
2031,Call of Duty Modern Warfare 3 - Multiplayer,Genre not found
2032,Call of Duty World at War,Shooter
2033,Counter-Strike Global Offensive,Shooter
2034,Rise of Nations Extended Edition,Real Time Strategy (RTS)
2035,The Stanley Parable,Adventure
2036,Thief,Shooter
2037,Thief - Ghost,Genre not found
2038,Thief - Opportunist,Genre not found
2039,Thief - Predator,Genre not found
2040,Thief - The Bank Heist,Shooter
2041,Thief 2,Shooter
2042,Thief Deadly Shadows,Shooter
2043,Thief Gold,Simulator
2044,Total War ATTILA,Strategy
2045,Worms Armageddon,Strategy
2046,Age of Empires II HD The Forgotten,Real Time Strategy (RTS)
2047,Alan Wake,Shooter
2048,Alan Wake's American Nightmare,Shooter
2049,Audiosurf,Music
2050,Back to the Future Ep 1 - It's About Time,Point-and-click
2051,Back to the Future Ep 2 - Get Tannen!,Point-and-click
2052,Back to the Future Ep 3 - Citizen Brown,Point-and-click
2053,Back to the Future Ep 4 - Double Visions,Point-and-click
2054,Back to the Future Ep 5 - OUTATIME,Point-and-click
2055,Borderlands 2,Shooter
2056,Deus Ex Game of the Year Edition,Shooter
2057,Deus Ex Human Revolution - The Missing Link,Shooter
2058,Deus Ex Invisible War,Shooter
2059,DiRT 3,Racing
2060,DiRT 3 Complete Edition,Racing
2061,DiRT Showdown,Racing
2062,FTL Faster Than Light,Role-playing (RPG)
2063,Far Cry 3,Shooter
2064,Hector Ep 1,Point-and-click
2065,Hector Ep 2,Point-and-click
2066,Hector Ep 3,Point-and-click
2067,Killer is Dead,Hack and slash/Beat 'em up
2068,L.A. Noire,Strategy
2069,Left 4 Dead 2,Shooter
2070,Max Payne 3,Shooter
2071,Operation Flashpoint Dragon Rising,Shooter
2072,Operation Flashpoint Red River,Shooter
2073,Overlord,Role-playing (RPG)
2074,Overlord II,Role-playing (RPG)
2075,Overlord Raising Hell,Role-playing (RPG)
2076,Poker Night at the Inventory,Sport
2077,Puzzle Agent,Point-and-click
2078,Puzzle Agent 2,Point-and-click
2079,Rise of the Argonauts,Role-playing (RPG)
2080,Sam & Max 301 The Penal Zone,Point-and-click
2081,Sam & Max 302 The Tomb of Sammun-Mak,Point-and-click
2082,Sam & Max 303 They Stole Max's Brain!,Point-and-click
2083,Sam & Max 304 Beyond the Alley of the Dolls,Point-and-click
2084,Sam & Max 305 The City that Dares not Sleep,Point-and-click
2085,Serious Sam 2,Shooter
2086,Serious Sam 3 BFE,Shooter
2087,Serious Sam Classic The First Encounter,Shooter
2088,Serious Sam Classic The Second Encounter,Shooter
2089,Serious Sam Classics Revolution,Shooter
2090,Serious Sam Double D XXL,Shooter
2091,Serious Sam HD The First Encounter,Shooter
2092,Serious Sam The Random Encounter,Shooter
2093,Skyrim High Resolution Texture Pack,Genre not found
2094,The Elder Scrolls V Skyrim,Role-playing (RPG)
2095,The Elder Scrolls V Skyrim - Dawnguard,Role-playing (RPG)
2096,The Elder Scrolls V Skyrim - Dragonborn,Role-playing (RPG)
2097,The Elder Scrolls V Skyrim - Hearthfire,Role-playing (RPG)
2098,The Walking Dead,Point-and-click
2099,Tom Clancy's Ghost Recon Advanced Warfighter,Genre not found
2100,Tom Clancy's Ghost Recon Advanced Warfighter 2,Genre not found
2101,Tom Clancy's Ghost Recon Future Soldier,Shooter
2102,Tom Clancy's Splinter Cell Conviction,Shooter
2103,Torchlight II,Role-playing (RPG)
2104,Tropico 4,Real Time Strategy (RTS)
2105,Universe Sandbox,Simulator
2106,Wallace & Gromit Ep 1 Fright of the Bumblebees,Genre not found
2107,Wallace & Gromit Ep 2 The Last Resort,Point-and-click
2108,Wallace & Gromit Ep 3 Muzzled!,Point-and-click
2109,Wallace & Gromit Ep 4 The Bogey Man,Point-and-click
2110,XCOM Enemy Unknown,Role-playing (RPG)
2111,Counter-Strike Condition Zero,Shooter
2112,Counter-Strike Condition Zero Deleted Scenes,Shooter
2113,Call of Duty Modern Warfare 2 - Resurgence Pack,Genre not found
2114,Call of Duty Modern Warfare 2 Stimulus Package,Shooter
2115,Half-Life Deathmatch Source,Shooter
2116,Insurgency Modern Infantry Combat,Shooter
2117,Worms Reloaded,Platform
2118,7 Days to Die,Shooter
2119,ARK Survival Evolved,Shooter
2120,Age of Empires III Complete Collection,Real Time Strategy (RTS)
